id,mean_acc_[M0],current_acc_[M0]
1000,0.558,0.59
2000,0.5595,0.595
3000,0.559333,0.525
4000,0.55925,0.515
5000,0.551,0.475
6000,0.545333,0.51
7000,0.540571,0.475
8000,0.5405,0.565
9000,0.541667,0.58
10000,0.5447,0.54
11000,0.543364,0.54
12000,0.531583,0.105
13000,0.567615,1
14000,0.552214,0
15000,0.549667,0.5
16000,0.547188,0.515
17000,0.542882,0.13
18000,0.563944,0.92
19000,0.571158,0.445
20000,0.5743,0.6
21000,0.577143,0.595
22000,0.578136,0.57
