id,mean_acc_[M0],current_acc_[M0]
1000,0.863,0.865
2000,0.836,0.82
3000,0.719,0.335
4000,0.714,0.725
5000,0.7138,0.67
6000,0.715833,0.785
7000,0.717143,0.73
8000,0.721375,0.725
9000,0.717778,0.7
10000,0.7005,0.375
11000,0.715,0.635
12000,0.73875,1
13000,0.746385,0.19
14000,0.718643,0.345
15000,0.705867,0.49
16000,0.692125,0.51
17000,0.679765,0.495
18000,0.668833,0.48
19000,0.661947,0.54
20000,0.65405,0.455
21000,0.646952,0.51
22000,0.639227,0.215
23000,0.630696,0.385
