id,mean_acc_[M0],current_acc_[M0]
1000,0.35,0.36
2000,0.404,0.43
3000,0.440667,0.565
4000,0.44325,0.415
5000,0.4444,0.435
6000,0.437833,0.395
7000,0.44,0.465
8000,0.438875,0.405
9000,0.438889,0.41
10000,0.4411,0.51
11000,0.441182,0.41
12000,0.446417,0.585
13000,0.452231,0.47
14000,0.455643,0.51
15000,0.4538,0.46
16000,0.45425,0.515
17000,0.456412,0.5
18000,0.456111,0.545
19000,0.458316,0.5
20000,0.46055,0.54
21000,0.46281,0.48
22000,0.465273,0.51
23000,0.465478,0.435
